trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
7451,27209,156,137.32,19.97,23.19,22.14,car,0,False
7458,27216,99,93.55,23.06,24.56,23.87,car,0,False
7468,27252,237,202.84,18.19,23.81,21.49,car,0,False
7518,27433,181,169.31,22.00,27.28,23.52,car,0,False
7566,27495,188,149.63,18.75,20.88,20.01,car,0,False
7579,27536,195,170.55,20.44,24.44,21.98,car,0,False
7608,27672,228,208.87,20.66,25.81,23.01,car,0,False
7611,27623,133,118.57,21.38,22.97,22.46,car,0,False
7649,27764,224,165.74,16.44,20.31,18.58,car,0,False
7656,27788,192,174.92,20.56,25.38,22.90,car,0,False
7674,27886,277,164.80,12.75,16.31,14.92,car,1,True
7683,27860,204,169.31,18.44,21.81,20.85,car,0,False
7711,27938,168,139.50,19.25,21.62,20.88,car,0,False
7732,27969,237,163.61,13.19,19.31,17.32,car,1,True
7748,28096,253,174.32,14.06,18.94,17.29,car,0,False
7765,28116,190,158.85,19.91,23.44,21.02,car,0,False
7777,28190,133,122.48,21.62,24.53,23.20,car,0,False
7778,28126,133,101.56,18.50,20.22,19.24,car,0,False
7780,28132,110,75.28,13.94,20.00,17.26,car,0,False
7798,28223,144,117.78,19.50,22.34,20.60,car,0,False
7804,28245,236,174.30,17.56,19.63,18.54,car,0,False
7812,28377,194,160.25,20.00,21.44,20.76,car,0,False
7848,28434,177,154.83,20.16,23.81,21.99,car,0,False
7878,28642,164,106.30,14.50,17.62,16.30,car,1,True
7885,28607,241,160.72,15.88,17.97,16.74,car,0,False
7917,28717,193,166.53,20.78,22.47,21.68,car,0,False
7931,28767,196,170.35,20.50,24.19,21.85,car,0,False
7947,28880,171,128.65,17.25,19.56,18.91,bus,0,False
7966,28899,160,139.13,20.97,23.16,21.88,car,0,False
7983,29011,154,125.20,18.94,21.44,20.46,car,0,False
8006,29124,102,80.74,19.31,20.50,19.99,car,0,False
8013,29167,157,158.78,24.16,27.25,25.44,car,0,False
8028,29190,117,106.21,22.06,24.34,22.90,car,0,False
8037,29247,188,158.18,19.91,22.87,21.16,car,0,False
8041,29362,199,160.03,19.12,21.12,20.21,car,0,False
8049,29395,136,125.67,21.62,25.75,23.28,car,0,False
8084,29441,108,108.50,23.12,30.03,25.36,car,0,False
8116,29474,211,170.82,18.69,22.47,20.34,car,0,False
8126,29597,181,155.34,20.37,22.50,21.57,car,0,False
8128,29564,171,147.31,20.78,23.25,21.67,car,0,False
8155,29665,160,107.05,14.16,18.94,16.83,car,0,False
8166,29747,175,160.49,21.19,24.38,23.05,car,0,False
8167,29721,205,169.01,19.25,21.53,20.71,car,0,False
8187,29802,184,158.38,20.31,22.94,21.64,car,0,False
8200,29848,169,157.81,22.25,24.75,23.48,car,0,False
